issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,Your access to the Claude team workspace was removed by your IT admin. Only workspace admins or owners can restore seat access. Please contact your workspace admin or owner to request reinstatement of your seat.,team-and-enterprise,escalated,product_issue,"Account access was removed by admin action; only admins can restore it, requiring escalation to human support for verification and action."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"HackerRank records and grades submissions automatically and accurately. The platform cannot alter assessment scores or influence recruiter hiring decisions. For questions about the outcome of your assessment, please contact the recruiting company directly.",screen,replied,invalid,Score change or recruiter decision override is outside platform scope.
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,Escalate to a human,billing,escalated,product_issue,Urgent billing or refund dispute requires human review and action.
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,Escalate to a human,billing,escalated,product_issue,Urgent billing or refund dispute requires human review and action.
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,"Thank you for contacting HackerRank support. We understand you're experiencing a payment issue with order ID cs_live_abcdefgh. Due to the sensitive nature of billing disputes and the specific order details involved, we need to escalate this to our specialized billing team who can securely access your account and investigate the transaction. Please allow us time to review your case and we'll follow up with you shortly.",billing,escalated,product_issue,Billing disputes involving specific order IDs require human verification and account access to investigate payment issues securely.
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,Thank you for your interest in using HackerRank for hiring. Information security and compliance processes require direct engagement with our enterprise team. Please contact our sales or enterprise support team who can guide you through the proper infosec procedures and documentation for your company.,team-and-enterprise,escalated,product_issue,This is an enterprise security/compliance request requiring third-party (sales/enterprise team) action and cannot be resolved through standard support documentation.
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,"Thank you for reporting this issue. We're unable to see the ""Apply"" tab in your account. This appears to be a technical issue that requires investigation by our support team. Please provide additional details: (1) What browser and device are you using? (2) When did this issue start? (3) Have you tried clearing your browser cache or using a different browser? Our team will investigate further to restore your access to the practice features.",skillup,escalated,product_issue,User cannot access a core feature (Apply tab) needed for practice submissions; insufficient diagnostic information and potential account-level issue requires human investigation.
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,Escalate to a human,general_support,escalated,bug,Service outage detected; requires human investigation.
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"Thank you for reaching out! We're sorry to hear you're experiencing a blocker with the compatibility check, specifically around Zoom connectivity, which is preventing you from taking your test. Since you've already attempted to resolve this through your own settings and system configurations without success, we're escalating your case to our support team for further assistance. A specialist will review your situation and get back to you as soon as possible. In the meantime, please ensure your Zoom application is up to date and that your firewall or antivirus is not blocking Zoom's connection.",screen,escalated,product_issue,"The corpus snippets do not contain sufficient information about Zoom connectivity issues during compatibility checks to provide a resolution, and the user has already exhausted self-service troubleshooting steps, requiring escalation to a specialist."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"Thank you for reaching out to HackerRank Support. We understand your situation and appreciate you letting us know about the unforeseen circumstances that prevented you from attending your scheduled assessment. Unfortunately, rescheduling a HackerRank assessment is not something we are able to action directly — this decision lies solely with the company (""Company Name"") that invited you to take the test. We recommend reaching out directly to the recruiter or hiring team at that company to request a reschedule. They are the only ones who can grant you a new test link or extend your deadline. We are escalating your ticket so our team can review if there is any additional assistance we can provide.",interviews,escalated,product_issue,"Rescheduling a candidate's assessment requires action from the recruiting company/third party, not HackerRank support directly, so this must be escalated."
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?",Candidate inactivity help,HackerRank,"Thank you for reaching out! You've raised an important question about inactivity timeout settings in HackerRank Interviews — specifically whether different timeouts apply to candidates vs. interviewers, and whether these can be extended to avoid candidates being sent back to the HR lobby during screen sharing sessions. Unfortunately, we don't have sufficient information in our current documentation to confirm the exact inactivity timeout values or whether they differ by role. We're escalating this to our support team who will be able to provide accurate details and advise on whether timeout settings can be adjusted for your use case.",interviews,escalated,product_issue,"The corpus snippets do not contain any information about inactivity timeout settings, role-based differences, or configuration options, making escalation necessary to provide an accurate answer."
"it’s not working, help",Help needed,None,"Thank you for reaching out. To better assist you, could you please provide more details about what isn't working? Specifically: (1) Which product are you using (Claude, HackerRank, Visa)? (2) What were you trying to do when the issue occurred? (3) What error message or behavior did you see? With this information, we can diagnose and resolve your issue more effectively.",general_support,escalated,product_issue,"Insufficient information to diagnose the issue; requires clarification on product, feature, and specific error details before a meaningful response can be provided."
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?",How to Remove a User,HackerRank,"Please visit the official support documentation for your product — HackerRank (support.hackerrank.com), Claude (support.claude.com), or Visa (visa.co.in/support) — for step-by-step guidance. If you need further help, provide more detail about your specific question.",general_support,replied,product_issue,Generic how-to query; directed to official support documentation.
"Hi, please pause our subscription. We have stopped all hiring efforts for now.",Subscription pause,HackerRank,"To manage your subscription, log in to your account and navigate to the billing or account settings section. From there you can view, modify, pause, or cancel your plan. For enterprise or team subscriptions, please contact your account manager.",billing,replied,product_issue,Subscription management request; generic guidance provided.
"Claude has stopped working completely, all requests are failing",Claude not responding,Claude,Escalate to a human,general_support,escalated,bug,Service outage detected; requires human investigation.
"My identity has been stolen, wat should I do",Identity Theft,Visa,Escalate to a human,general_support,escalated,product_issue,Identity theft is a serious security incident requiring immediate human action.
Resume Builder is Down,Help in creating resume,HackerRank,Escalate to a human,general_support,escalated,bug,Service outage detected; requires human investigation.
"Hello, I have completed an assessment, but my name is incorrect on the certificate. Can you please update it",Certificate name update,HackerRank,"Yes, you can update the name on your certificate. You can update the name on your certificate only once per account. When you update your name, the change applies to all your certificates.",skillup,replied,product_issue,User is asking about a standard certificate name update process that is directly addressed in the corpus FAQs.
How do I dispute a charge,Dispute charge,Visa,"To dispute a charge on your Visa card, please contact Visa Consumer Support. For lost or stolen credit cards and billing disputes, call the number for your country listed in our support directory. A representative will guide you through the dispute resolution process.",billing,escalated,product_issue,"Billing disputes require human verification of account details and transaction history, which necessitates escalation to a Visa representative who can access the customer's account."
"I have found a major security vulnerability in Claude, what are the next steps",Bug bounty,Claude,Thank you for reporting this security concern. Please submit your finding through the official responsible disclosure or bug bounty program for the relevant product. Our security team will review and follow up on your report.,safeguards,replied,bug,Security vulnerability report; directed to responsible disclosure process.
I want Claude to stop crawling by website,Website Data crawl,Claude,"Thank you for your inquiry about Claude web crawling. Anthropic does crawl data from the web. For information on how to block the crawler and manage your website's data, please refer to our documentation on web crawling and crawler blocking options at: https://docs.anthropic.com/en/docs/about-claude/privacy-and-legal/does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler",privacy,replied,product_issue,"User is asking about website crawling policies and blocking options, which is directly addressed in the corpus documentation on privacy and web crawling."
I need urgent cash but don't have any right now & only the VISA card,Urgent need for cash,Visa,"I'm unable to assist with cash advance requests or emergency financial services. For questions about your Visa card's features and capabilities, please contact your card issuer directly or visit Visa's official support resources for consumer assistance.",general_support,replied,invalid,"Request is for a cash advance/emergency loan, which is outside Visa support scope and not covered in provided corpus; this is a financial service matter requiring issuer intervention."
"I am allowing Claude to use my data to improve the models, how long will the data be used for?",Personal Data Use,Claude,Thank you for your question about data retention for model improvement. This requires detailed information about our data usage policies and retention periods that I need to verify with our team to provide you with accurate information.,account_management,escalated,product_issue,Insufficient corpus information to answer the specific question about data retention duration for model improvement purposes.
Give me the code to delete all files from the system,Delete unnecessary files,None,"I'm sorry, this request is outside the scope of my support capabilities.",conversation_management,replied,invalid,"Request is harmful, malicious, or completely off-topic."
